Test Case Name;Objective;Precondition;Test Steps;Expected Result
"[PIX] GET /rec/{idRec} - 200 Recorrência retornada com sucesso";"Validar a consulta de uma recorrência existente";"Autenticação válida; Recorrência previamente criada";"Enviar GET /rec/{idRec} com idRec válido";"HTTP 200; Dados da recorrência retornados corretamente"
"[PIX] GET /rec/{idRec} - 200 Recorrência retornada com loc vinculada";"Validar consulta de recorrência contendo loc associada";"Autenticação válida; Recorrência criada com loc";"Enviar GET /rec/{idRec} referente a recorrência com loc";"HTTP 200; Campo loc retornado corretamente"
"[PIX] GET /rec/{idRec} - 200 Recorrência retornada com valorRec";"Validar consulta de recorrência com valorRec";"Autenticação válida; Recorrência criada com valorRec";"Enviar GET /rec/{idRec} da recorrência criada com valorRec";"HTTP 200; Campo valorRec retornado corretamente"
"[PIX] GET /rec/{idRec} - 200 Recorrência retornada com valorMinimoRecebedor";"Validar consulta de recorrência com valorMinimoRecebedor";"Autenticação válida; Recorrência criada com valorMinimoRecebedor";"Enviar GET /rec/{idRec} da recorrência criada com valorMinimoRecebedor";"HTTP 200; Campo valorMinimoRecebedor retornado corretamente"
"[PIX] GET /rec/{idRec} - 400 Requisição inválida";"Validar erro ao consultar recorrência com idRec inválido";"Autenticação válida";"Enviar GET /rec/{idRec} com idRec fora do padrão esperado";"HTTP 400; Erro de requisição inválida retornado"
"[PIX] GET /rec/{idRec} - 401 Não autorizado";"Validar erro ao consultar recorrência sem autenticação";"Token ausente ou inválido";"Enviar GET /rec/{idRec} sem token de autenticação";"HTTP 401; Erro de não autorizado"
"[PIX] GET /rec/{idRec} - 403 Acesso negado";"Validar erro ao consultar recorrência sem permissão";"Token válido sem escopo necessário";"Enviar GET /rec/{idRec} com token sem permissão";"HTTP 403; Erro de acesso negado"
"[PIX] GET /rec/{idRec} - 404 Recorrência não encontrada";"Validar erro ao consultar recorrência inexistente";"Autenticação válida";"Enviar GET /rec/{idRec} com idRec inexistente";"HTTP 404; Recorrência não encontrada"
"[PIX] GET /rec/{idRec} - 410 Recorrência encerrada";"Validar consulta de recorrência encerrada";"Autenticação válida; Recorrência com status ENCERRADA";"Enviar GET /rec/{idRec} de recorrência encerrada";"HTTP 410; Recorrência encerrada retornada conforme regra"
"[PIX] GET /rec/{idRec} - 422 Recorrência inconsistente";"Validar erro ao consultar recorrência em estado inconsistente";"Autenticação válida; Recorrência em estado inválido";"Enviar GET /rec/{idRec} de recorrência inconsistente";"HTTP 422; Erro de recorrência inconsistente"
"[PIX] GET /rec/{idRec} - 500 Erro interno do servidor";"Validar erro interno ao consultar recorrência";"Autenticação válida";"Enviar GET /rec/{idRec} durante falha interna";"HTTP 500; Erro interno retornado"
"[PIX] GET /rec/{idRec} - 503 Serviço indisponível";"Validar indisponibilidade do serviço de consulta";"Autenticação válida";"Enviar GET /rec/{idRec} durante indisponibilidade do serviço";"HTTP 503; Serviço indisponível"
"[PIX] GET /rec/{idRec} - 200 Consulta no limite de carga";"Validar consulta em cenário de alta carga";"Autenticação válida; Recorrência existente";"Enviar múltiplas requisições GET /rec/{idRec} em curto intervalo";"HTTP 200; Recorrência retornada sem degradação"
"[PIX] GET /rec/{idRec} - 200 Consulta com idRec no limite mínimo";"Validar consulta com idRec no menor tamanho permitido";"Autenticação válida; Recorrência criada com idRec mínimo";"Enviar GET /rec/{idRec} com idRec no tamanho mínimo";"HTTP 200; Recorrência retornada"
"[PIX] GET /rec/{idRec} - 200 Consulta com idRec no limite máximo";"Validar consulta com idRec no maior tamanho permitido";"Autenticação válida; Recorrência criada com idRec máximo";"Enviar GET /rec/{idRec} com idRec no tamanho máximo";"HTTP 200; Recorrência retornada"
